2.744	2.386	-10765.936
2.625	1.114	-10758.194
2.828	-0.010	-10753.160
2.627	-0.675	-10742.635
1.201	0.453	-10736.951
1.851	1.933	-10756.246
2.009	2.843	-10766.777
0.551	0.919	-10748.830
0.435	1.193	-10733.047
0.359	1.343	-10735.830
-0.062	2.372	-10732.613
2.154	0.957	-10762.473
0.214	0.923	-10752.043
-0.189	1.706	-10743.791
-0.447	2.080	-10736.044
-0.996	1.933	-10721.173
-1.104	-0.642	-10716.051
-2.184	-1.227	-10707.633
-2.862	-1.310	-10700.788
-1.834	-2.077	-10717.426
-0.618	-4.077	-10716.319
-1.111	-3.419	-10686.990
-0.322	-2.320	-10684.605
0.654	-1.080	-10686.940
0.232	-0.179	-10680.675
-0.580	-0.937	-10670.846
0.531	-1.612	-10681.659
1.416	-3.051	-10696.435
2.536	-2.403	-10713.152
1.514	-0.625	-10701.995
0.237	0.317	-10697.740
0.855	-0.266	-10707.150
1.001	0.572	-10711.481
2.271	1.560	-10719.502
2.010	0.117	-10702.833
0.591	0.336	-10685.674
0.018	-1.317	-10678.019
-0.259	-1.755	-10673.978
0.466	-1.244	-10682.152
0.937	0.118	-10683.230
1.351	2.182	-10696.975
2.428	2.416	-10712.951
3.593	1.154	-10721.578
3.857	2.030	-10726.642
3.377	2.272	-10730.695
2.869	0.965	-10730.671
3.358	-0.350	-10733.133
4.205	-1.243	-10733.209
5.070	0.098	-10732.880
6.466	-0.350	-10742.803
5.316	-0.194	-10725.220
5.226	1.177	-10719.075
5.302	2.089	-10711.690
5.638	2.379	-10720.694
5.197	0.608	-10717.522
3.464	0.271	-10700.958
3.998	1.505	-10707.566
3.682	2.625	-10709.592
3.996	1.774	-10721.784
3.771	1.562	-10737.762
4.467	2.881	-10758.832
3.566	1.617	-10754.830
3.399	0.290	-10763.428
4.602	0.043	-10766.731
6.062	0.292	-10772.633
5.875	-0.380	-10763.886
5.012	-1.059	-10758.387
3.694	-1.104	-10736.635
3.956	-0.538	-10730.307
4.969	0.945	-10733.941
2.646	2.022	-10701.866
2.208	1.644	-10700.318
1.557	0.397	-10692.993
-0.270	-0.444	-10678.908
-0.832	-1.168	-10665.649
-0.016	-0.794	-10672.264
0.588	-0.215	-10678.523
1.342	0.011	-10681.913
1.028	2.120	-10675.311
0.736	2.642	-10672.503
1.535	2.294	-10690.836
1.519	1.473	-10691.089
1.160	1.824	-10703.831
1.257	1.932	-10716.236
0.837	1.049	-10718.619
0.920	-1.022	-10710.944
0.800	-1.876	-10705.794
1.751	-2.136	-10713.496
2.232	-2.722	-10712.835
1.731	-2.757	-10704.774
1.606	-3.173	-10704.974
1.835	-1.998	-10704.976
2.375	-1.820	-10700.955
1.898	-1.060	-10697.873
1.593	0.708	-10699.467
0.181	2.793	-10694.066
0.019	3.931	-10683.330
0.128	3.155	-10685.053
0.615	2.374	-10687.880
2.305	-1.557	-10704.022
2.969	-1.427	-10713.724
3.083	0.619	-10720.636
2.343	1.228	-10721.636
2.970	1.890	-10742.780
5.593	2.558	-10785.273
6.587	2.117	-10801.423
5.497	1.795	-10790.610
4.075	0.256	-10768.622
3.040	0.005	-10749.366
2.534	0.909	-10738.867
3.061	0.685	-10737.220
1.155	0.483	-10706.133
0.509	-0.467	-10701.000
0.262	-1.026	-10700.504
0.608	-2.466	-10714.004
0.863	-1.368	-10722.772
1.466	-0.074	-10744.621
1.524	1.632	-10753.756
0.784	3.022	-10751.400
1.335	3.622	-10768.031
2.028	4.045	-10783.940
1.701	1.788	-10784.739
0.088	0.613	-10768.105
0.489	0.848	-10764.301
0.078	0.924	-10748.023
0.830	1.320	-10759.257
1.113	2.505	-10760.562
1.990	4.587	-10768.063
2.655	4.357	-10774.072
1.661	3.833	-10762.874
1.015	0.942	-10749.708
1.057	0.449	-10746.260
1.395	0.767	-10746.612
0.660	0.716	-10742.105
-0.691	0.334	-10730.198
-1.337	-0.407	-10726.160
-1.575	0.813	-10718.244
-1.187	0.840	-10725.935
-0.072	1.021	-10741.538
1.166	1.582	-10756.173
2.166	0.661	-10759.570
4.336	0.345	-10774.570
3.664	-1.046	-10760.739
2.682	-2.358	-10745.193
1.770	-1.585	-10735.206
1.269	-0.799	-10730.901
1.113	0.352	-10733.097
0.743	0.215	-10732.538
0.755	0.521	-10735.321
1.070	0.694	-10744.587
1.258	1.231	-10747.823
-0.085	2.056	-10736.336
0.569	2.850	-10757.900
0.131	3.652	-10754.397
-0.618	1.129	-10737.412
-0.665	-0.506	-10738.291
0.009	-0.738	-10751.847
-1.122	-1.033	-10747.294
-0.624	-1.966	-10748.679
0.180	-1.474	-10760.028
0.708	0.465	-10773.254
3.008	2.191	-10805.550
3.722	3.214	-10814.079
2.188	3.002	-10811.266
1.462	3.399	-10796.074
1.894	4.934	-10799.114
2.599	3.054	-10804.746
3.029	2.086	-10805.265
3.245	2.205	-10813.020
4.743	3.739	-10839.511
3.672	6.397	-10831.185
2.413	5.659	-10809.074
1.279	5.196	-10807.285
-1.327	4.458	-10778.179
-1.512	3.583	-10762.158
-1.697	2.641	-10741.854
-1.060	1.036	-10743.029
-0.471	-0.034	-10741.282
-0.441	-0.422	-10731.370
-1.260	-0.417	-10717.675
-0.940	-0.344	-10711.311
-0.297	-2.290	-10713.873
0.102	-1.413	-10720.953
-0.247	-0.764	-10716.702
1.617	-0.229	-10740.617
3.783	-2.150	-10762.335
3.351	-3.037	-10760.592
2.291	-1.613	-10741.827
0.829	-1.118	-10716.867
-0.571	-1.229	-10702.074
-0.196	-1.626	-10703.329
1.290	-1.631	-10725.332
2.862	-0.211	-10741.434
2.840	0.071	-10739.280
1.147	0.543	-10725.456
0.038	0.491	-10723.832
0.298	-0.369	-10734.664
0.455	-1.220	-10744.429
1.155	-0.504	-10761.247
1.696	0.183	-10771.160
1.316	0.535	-10766.206
0.552	1.087	-10751.785
0.331	1.042	-10749.744
0.020	1.727	-10750.724
-0.415	1.443	-10745.696
-1.331	0.183	-10734.312
-1.105	0.235	-10730.136
-1.170	-0.774	-10720.020
-1.162	-0.071	-10719.982
-0.969	-0.638	-10721.525
-1.902	-0.139	-10706.909
-1.836	1.011	-10716.432
-2.388	3.573	-10720.172
-2.192	4.624	-10723.916
-2.120	2.995	-10719.750
-0.932	3.005	-10733.978
0.015	3.377	-10744.780
1.178	2.481	-10750.628
1.788	1.814	-10750.186
1.222	1.714	-10732.899
-0.072	-0.613	-10713.836
-0.486	-1.948	-10710.820
0.359	-2.675	-10714.707
0.374	-1.499	-10724.317
0.269	-1.237	-10736.064
-0.659	-0.371	-10722.965
0.553	0.739	-10735.043
2.688	-0.778	-10756.487
2.643	-1.000	-10762.544
1.938	0.446	-10767.733
1.213	1.602	-10772.627
-0.823	2.039	-10751.973
-1.779	0.619	-10735.967
-3.370	1.316	-10721.440
-3.829	2.206	-10722.294
-2.753	2.976	-10733.714
-2.887	3.145	-10736.184
-3.145	3.536	-10742.089
-3.704	3.814	-10734.556
-3.913	3.907	-10721.545
-3.843	2.412	-10709.822
-2.036	3.144	-10721.847
0.562	3.432	-10751.762
1.801	2.748	-10766.949
0.464	2.326	-10746.395
0.668	1.236	-10751.551
0.488	1.852	-10751.681
1.286	1.210	-10756.535
1.787	0.451	-10762.807
0.725	2.523	-10758.241
0.445	3.047	-10757.785
-0.204	0.832	-10750.861
-0.167	1.118	-10755.857
-1.446	1.138	-10752.544
-1.235	2.486	-10762.010
-0.995	1.709	-10767.091
0.134	1.003	-10772.405
-0.377	1.584	-10767.051
-0.156	2.118	-10779.958
-0.642	3.622	-10786.396
-2.860	2.493	-10772.202
-3.781	2.253	-10766.456
-5.764	1.711	-10745.423
-7.164	1.775	-10740.499
-5.960	2.164	-10762.603
-5.654	4.151	-10772.514
-3.982	3.400	-10796.764
-2.807	3.262	-10806.692
-2.954	3.140	-10804.514
-0.581	2.179	-10822.184
0.292	1.897	-10821.800
-0.633	3.103	-10813.458
-0.234	3.423	-10815.294
0.676	2.014	-10820.863
-0.582	2.038	-10801.163
-0.951	1.256	-10793.649
-2.851	0.785	-10768.335
-3.215	0.536	-10768.952
-2.695	-0.221	-10779.201
-3.270	-0.827	-10775.579
-3.863	-1.335	-10762.130
-3.693	0.340	-10759.170
-2.741	0.500	-10752.389
-1.353	0.931	-10752.986
-0.508	1.770	-10768.548
-0.975	1.433	-10763.808
0.938	1.181	-10790.229
1.650	1.147	-10794.472
0.766	-0.327	-10779.720
0.893	-0.327	-10791.670
0.475	1.190	-10787.901
0.259	-0.294	-10777.994
1.632	-0.804	-10778.843
0.404	0.070	-10758.657
0.537	-1.622	-10746.512
0.719	-2.070	-10748.229
-0.021	-3.134	-10736.559
-0.457	-3.721	-10726.924
-0.855	-3.259	-10722.791
-1.313	-2.437	-10720.962
-1.305	-2.465	-10728.832
0.072	-2.483	-10742.894
1.010	-1.654	-10756.952
0.333	-0.433	-10755.971
-1.081	0.801	-10732.696
-2.939	1.395	-10716.313
-1.818	1.051	-10734.934
-2.469	0.101	-10731.703
-1.984	0.557	-10740.270
-0.848	0.311	-10755.301
-0.121	0.856	-10767.067
-0.356	1.571	-10768.134
0.826	2.579	-10779.982
1.964	2.572	-10783.572
2.678	3.040	-10786.930
3.651	2.790	-10794.566
3.555	1.632	-10799.008
4.339	0.570	-10811.987
4.614	-0.033	-10812.219
4.516	-0.022	-10811.995
2.416	-1.565	-10795.475
1.432	-1.479	-10792.027
1.694	0.079	-10789.419
1.337	0.168	-10773.895
0.128	-0.160	-10752.959
0.076	0.027	-10743.859
-1.021	1.324	-10716.654
-1.721	3.064	-10700.044
-1.744	2.115	-10696.210
-0.803	0.056	-10703.829
-0.930	-1.054	-10696.074
-0.664	-1.828	-10681.982
-0.924	0.322	-10674.954
-0.615	1.818	-10669.000
-0.031	1.302	-10667.659
0.038	0.028	-10665.742
0.707	0.236	-10671.346
1.137	0.337	-10672.367
1.360	0.222	-10670.615
2.076	0.593	-10683.218
2.067	-0.349	-10690.774
1.842	-1.138	-10699.168
3.890	0.532	-10721.390
4.884	1.544	-10731.773
4.240	1.168	-10723.277
2.780	1.680	-10706.933
1.828	0.353	-10701.903
1.216	-1.096	-10697.702
0.845	-0.095	-10690.276
0.715	2.271	-10698.205
1.429	4.298	-10713.446
1.445	4.981	-10702.625
2.100	3.226	-10695.812
0.907	2.193	-10672.717
-0.943	2.591	-10646.937
-2.940	3.238	-10619.984
-0.803	3.314	-10638.055
1.180	2.772	-10658.556
0.723	1.175	-10654.265
1.947	2.021	-10671.346
3.767	1.940	-10688.017
5.353	2.859	-10703.252
5.918	3.300	-10701.057
4.344	2.691	-10680.723
